"A lot of content was deleted by the one who uploaded it. If you have backups for any removed items, please submit them here.",,
Response,Timestamp,Write below any feedback you have.
hey me,19/06/2015 10:24:34,test Feedback can also be sent to lskj3rengwp2@gmail.com or procrastinator0109@gmail.com
"added
",21/06/2015 01:18:31,include god-tier add-ons like Morphman and sub2srs for Anki power-users
workaround fixed it,21/06/2015 11:47:12,The CoR and reading list both have 2 sets of scrollbars on pages that are wider & taller than the screen. Any way to fix?
fixed,21/06/2015 18:49:57,The DOJG Reference index is missing a lot of anchors
added,24/06/2015 01:19:48,"furigana and yonkoma columns for CoR 漫画 sheet:
https://docs.google.com/spreadsheets/d/17MyF28GqiVKHvGxwRT8EUEd8U0VfR4-mostPRfK4IfA/edit?usp=sharing

Adding the entries for 青年 and 女性 columns later. Useful for people looking for 四コマ with furigana and/or being able to see if a title has furigana before downloading. The easier it is for beginners to break into native media, the better for their learning. "
implemented a workaround,24/06/2015 19:20:19,"The CoR, reading list, feedback and offline pages have multiple navigation panes or bars on mobile devices, making them unusable with a touch screen display."
"1) Added info in red letters.

2) I'm not able to search for any new stuff myself. I don't have time for it and I don't know Japanese good enough to find things on Japanese Internet

If anybody has anything to contribute though, post it in feedback/e-mail me and it will be added to CoR.",24/06/2015 23:45:41,"m8 you should really have a column under the CoR for LNs stating what format the LNs are in (ie. aozora txt, jpgs, w/e).

Also, the daidenyuu folder is painfully out of date; 15 has been the latest novel for quite a while now."
done,25/06/2015 09:53:31,"If possible could you please host the newer versions of the Grammar page from the offline mediafire folder? A lot of work on structure has been done and the docx/pdf is a lot better than the current page, all links working and easier to read. If you are able to host the pdf version it would be a great way to preserve the format and links."
"still being worked on

Also you can just use it to check what page and in what volume of DOJG you can look it up (there's page number for every entry)",25/06/2015 21:09:43,"Hello,
  The grammar page pdf file is of high quality and I thank you very much for making it but I do have a question regarding some errors with incorrect kanji being used for readings. There are some I have noticed in the Advanced section and makes me a little hesitant to use it. Is the team who made it still currently working on that or is there an appropriate place for those of us using it to send incorrect sentences with their corrections? 

Very much appreciate the hard work that must have been involved. Please do not take offense. 

-anon"
"done

Are you CoR-kun? You gave us incorrect account info for one of the Mega accounts",27/06/2015 03:28:25,If you wanted to host the grammar page as a single html file there is a one now in the mediafire link on your homepage. It is merely a special copy/paste job from word 2013 to dreamweaver but it will display verything with as it is now with functioning links without the need to host a pdf on dropbox 1.4~mb html compared to 7.4~mb pdf. Option is there if desired. In a few days expect an updated copy with all typos and corrections ready covering the Basic volume. Will not have all formation notes yet. That comes after the typo/error checking. Working on one volume at a time.
pending,28/06/2015 17:08:58,kill yourself
added alternate download link,30/06/2015 13:30:08,"In the CoR under textbook tab ""A Dictionary of Japanese Grammar"" two files seem to be corrupt. The files are Intermediate and Advanced. 

Could a possible reupload of fixed files be done? 
Thanks again for the resources!"
"CoR is a google sheet embedded in html page using iframe tags (to allow for easier changing/adding things by multiple people), and hyperlink formatting isn't supported in google sheets.

Workaround:
http://boards.4chan.org/a/thread/127416564#p127430923",30/06/2015 22:11:18,Can you fix the css on the pages show they correctly show the links I have and have not clicked. Makes it easier to keep track of what I've already downloaded
Thanks for your hard work.,01/07/2015 10:23:45,"""詰め合わせ 四        x+MB assorted LN pdf file format (stil partial?)""
https://mega.nz/#F!e49TFahC!vIEZQHjuvkKkFmLz3g63sg
328 files
807.5MB
.pdf 

If I add anything else to it I'll make sure you have a way to track changes if that is something you want to do. Probably a google doc or spreadsheet or something with the details of everything in it marking what is current and what is added if I add anything. Keeping the format as .pdf for consistency. 

Was about to post the link in the suggestion but you must have found it in the thread or something. 忍者じゃなイカ？"
Added. Thank you.,03/07/2015 12:06:11,"青空文庫 works in pdf: 
https://mega.nz/#F!a8VgDIyT!20AOZ-LUHuQs003CQHwVug
Linked folder will have content updated for a while. Didn't get a response in the DJT thread itself but a sheet in the CoR without links in a spreadsheet otherwise full of them is a little sad."
Thanks for your contribution.,05/07/2015 11:10:36,"Finally updated the grammar page html. It is at the time of this post up to date:
Grammar concept descriptions updated for all entries in the basic and intermediate volumes; 
Typo/spelling editing for entire basic volume and the first fifty pages worth of entries for the intermediate; 
formation tables for everything in basic volume and up to がたい of the intermediate. 

The file is in the mediafire link. "
"Linked to the pdf as a ""temporary"" solution",09/07/2015 20:50:13,"Could the web master please update the contents of the ""GRAMMAR"" webpage with the dot html file called 日本語文法辞典全巻.html in the ""(NEWEST OFFLINE VERSION)"" link? That file is much updated than the content currently.
"
added info in red letters,14/07/2015 14:13:50,"Add a column in the 小説 sheet that indicates the file format (pdf, epub, azw3, jpg) of a novel."
"I gues that temporary solution will have to become permanent. I get Error 500: Script Execution Failure. I checked that upload mode is ASCII not BINARY, I checked that  file permissions are set to 755 (-rwxr-xr-x) but it still doesn't work. Maybe hosting provider's software doesn't support some of the scripts used in the html file?

Anyway, I give up. If anybody is willing to host it on their server or whatever I'll change the link on main page. Until then you'll have to use the 3MB bigger pdf (the ""temporary"" solution), or just download one of the formats in ""newest offline version"". (If you want to use Rikaisama or whatever you can download the html file and open it in your browser.)",24/07/2015 20:05:32,"http://nocozazal.co.nf/grammar.html is still giving ""Error 500: Script Execution Failure""."
"Thanks, added link to main page.",06/08/2015 06:43:27,"Hey, trying to get other anons to band together and help out getting the DoJG document on the grammar page editing process sped up while CoR Kun is afk and out of contact. 

Google spreadsheet mocked up
https://docs.google.com/spreadsheets/d/1j3aZpGEV1uSYwDQfBJR3BlDHHYWoaWIIfHMY6wiM_bQ/edit?usp=sharing

Pastebin of edits I've added to the spreadsheet 
(concepts やる (1) やる (2) やっと よう (1) よう (2) より ざるを得ない ぞ) 
http://pastebin.com/cEYBqXVj

Any way you can raise awareness somehow I don't know but nothing to lose posting here. "
added.,09/08/2015 13:47:03,"The Intermediate volume of the DoJG updated Anki deck has been completed. Might be worth adding these to the CoR: 

Intermediate 
日本語文法辞典語彙(中級編)
https://mega.co.nz/#!ix8jwRZK!bTCYQA88OPPjslge9rp0J6S_U-Li3bMnqiy2lSWpPEQ

Basic and Intermediate combined
日本語文法辞典語彙(基本と中級編)
https://mega.co.nz/#!Xo1DSbiJ!UvKniIUHieuFp3ZJO9itvGt7w1l9HbeH5xEaNiv8S_w"
"Thanks for info and for links, but they don't seem to work, added the link from typo checking project instead (I think that it's the newest one right now).

Sorry for such a late reply but I have been away for a long time.",10/08/2015 06:33:55,"Basic-only version of the deck is on CoRくん's mediafire account. Someone will have to re-upload it to mega if you want consistency.

Also, the anon posted updated index pdf/docx with Intermediate corrections/additions:

日本語文法辞典全巻.docx
4.2 MB
https://mega.co.nz/#!CwkmQBIB!ltgDs5tVrtY6JxZ0VgeXpNvuZ-f3kSQ4_UFWDL55j_U

日本語文法辞典全巻.pdf
6.6 MB
https://mega.co.nz/#!Tp1QBQhK!E2U79oj6jgBdLLWFNApsyg0gItRQCwY3ujBx73gmZxk"
added fixed version,22/08/2015 16:35:29,"I posted in the thread already but I'll share it here as well. DOJG series checklist to see which and how many concepts you've read, with completion percentage of each volume and the whole series:
https://mega.nz/#!CQRixLJD!4uF71X94Mw78e5OgtlbHQ4gVHEbNvwAM70aNfuI8ddY"
"I don't have any contact with the person maintaining this pastebins (or any other).

Just use Reading List/google beginner manga and then find the titles you want to read in Cornucopia of Resources/Nyaa/Perfect Dark .
",25/08/2015 02:40:16,">http://www.mediafire.com/?93atzwak7dx47- a Mediafire of documents and raw manga to get you started with reading
Is empty.
Can someone update the resources pastebin, please?
"
"added

",30/08/2015 21:05:13,"オッス
A few individuals are having some trouble finding the most up to date complete version of the updated Dictionary of Japanese Grammar Anki deck. That was a mouthful. Here is the link, it might be worth adding to the CoR. 

http://www.mediafire.com/download/594z69z4g49zwf9/%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E6%B3%95%E8%BE%9E%E5%85%B8%E4%BE%8B%E6%96%87%E5%85%A8%E9%9B%86%28cloze%29.apkg

With this deck, the following are redundant and can be removed if you want: 
UPDATED Dictionary of Japanese Grammar (Basic + Intermediate)
UPDATED Dictionary of Japanese Grammar (Intermediate)
(old) Dictionary of Japanese Grammar Series Complete
(old) Dictionary of Japanese Grammar Series Complete Cloze
(old) Dictionary of Japanese Grammar Series Abridged

The mediafire link at the top of the spreadsheet directly linked on the front page of your website was apparently too hidden. Go figure. Sorry to bother."
done,08/09/2015 15:53:19,"The anki start up guide has a dead mega link to the core deck, please replace with a new link containing the deck (in the link below) or the following link


https://www.mediafire.com/?585iq1q84nqd4c1 "
done,14/09/2015 21:05:24,"オッス
I'd like to requestion an addition to the Guide.
This would probably fit well in the the tools/resources section.
An anon kindly put together these two pastebins outlining how to
effectively go from a 青空文庫 txt file found in the ether
to a fully searchable, functioning ebook for kindle devices:

boards.4chan.org/a/thread/130901005#130904221
GUIDE TO CONVERT AOZORA BUNKO TEXT FILES INTO MOBI EBOOKS
http://pastebin.com/8cRxRcQu

GUIDE TO CONVERT MOBI EBOOKS INTO SEARCHABLE AZW3 EBOOKS
http://pastebin.com/qdaYzitJ

失礼しました。"
"done

Thanks a lot for your contribution.",26/09/2015 03:47:58,"オッス
Assembled an updated collection of azw3 files, etc. for the CoR. 
Direct link to the root folder with the different folders. 
Each should be self explanatory. 
https://mega.nz/#F!65dD2AhK!KnLYlyy0Ax65qxzWIOLKbA

Print out of everything within the mega folder containing the processed azw3 files: 
https://spit.mixtape.moe/view/0418ef43

Mocked up a google spreadsheet with the organised content. 
Please use for the sake of user convenience.
Sheet1 is all the general content. 
Links direct to folder with azw3 files.
Sheet4 is directory for 文学賞受賞作 folder:
Assortment of award winning Japanese novels. 

https://docs.google.com/spreadsheets/d/15VlUpDwG_PUsfyDpDSFnzJB_GU42n8KRUzobLneET9g/edit?usp=sharing

No longer posting in 4chan /djt/ threads. 
If there are any updates, you will be informed with a brief email. 

失礼しました。"
